EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
   73         6.0000000000000000E+000         2.0013942707483773E-001         2.0013928876843740E-001        -6.2849792438841975E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.7687033733217339E-001        -1.4888675504477846E+000        -9.8999999999999986E+001         3.5086691841208557E+000         1.6690361527431610E-001         3.4056389201358352E+000         7.1539291753278067E-001         6.6085754779991141E-005         2.7025513764691445E-001         2.4965358274965884E-003         6.1088852298822318E-003         6.0385854022961709E+000        -2.3713591714601051E-001         1.9153294581984753E-001         7.1539291752715783E-001         2.7025513764691450E-001         2.4965358274965884E-003        -1.0000000000000000E+000
   74         6.0000000000000000E+000         2.0567884686751711E-001         2.0567870294955920E-001        -6.4687109692183865E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.6601562108239509E-001        -1.7309753684524207E+000        -9.8999999999999986E+001         3.5102597905340218E+000         1.6914976057287290E-001         3.4118831302899593E+000         7.1539291260874593E-001         6.6100526811635433E-005         2.7025513764693715E-001         2.4965358274968538E-003         6.1088852298828728E-003         6.0466009251071160E+000        -2.3372383646797831E-001         1.8870852556431433E-001         7.1539291260422255E-001         2.7025513764693720E-001         2.4965358274968538E-003        -1.0000000000000000E+000
   75         6.0000000000000000E+000         2.1200119425450925E-001         2.1200104380801527E-001        -6.6513609405112865E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.5322578448061452E-001        -2.1150892775554189E+000        -9.8999999999999986E+001         3.5120496206504983E+000         1.7196501864080954E-001         3.4185065849055669E+000         7.1539290341371675E-001         6.6128111815411112E-005         2.7025513764696313E-001         2.4965358274971565E-003         6.1088852298836066E-003         6.0555212460343508E+000        -2.3052828927715008E-001         1.8548238914943710E-001         7.1539290340970441E-001         2.7025513764696318E-001         2.4965358274971565E-003        -1.0000000000000000E+000
   76         6.0000000000000000E+000         2.1761015943274475E-001         2.1761000300015862E-001        -6.7608791829272228E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.4111186650233032E-001        -2.4909527966114400E+000        -9.8999999999999986E+001         3.5136014577365611E+000         1.7491830345782564E-001         3.4234713090093249E+000         7.1539287623745729E-001         6.6209640519784011E-005         2.7025513764698611E-001         2.4965358274974250E-003         6.1088852298842563E-003         6.0630141642872548E+000        -2.2898327935125684E-001         1.8261564999974511E-001         7.1539287623427916E-001         2.7025513764698611E-001         2.4965358274974250E-003        -1.0000000000000000E+000
   77         6.0000000000000000E+000         2.2393337329193447E-001         2.2393321004023342E-001        -6.8507317979502459E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.2768133715976793E-001        -3.0429391363841489E+000        -9.8999999999999986E+001         3.5153270246278421E+000         1.7818243434654579E-001         3.4291986975249635E+000         7.1539285566884847E-001         6.6271346262574850E-005         2.7025513764701203E-001         2.4965358274977277E-003         6.1088852298849892E-003         6.0715558879860447E+000        -2.2698624667904466E-001         1.7937915127957410E-001         7.1539285566677968E-001         2.7025513764701203E-001         2.4965358274977277E-003        -1.0000000000000000E+000
   78         6.0000000000000000E+000         2.2991624970921271E-001         2.2991607989674828E-001        -6.8922162638911170E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.1510479917914251E-001        -3.6573536921014247E+000        -9.8999999999999986E+001         3.5169330259687275E+000         1.8125870065508776E-001         3.4346421733945016E+000         7.1539284380900070E-001         6.6306925727119715E-005         2.7025513764703663E-001         2.4965358274980139E-003         6.1088852298856813E-003         6.0796744272288157E+000        -2.2502513676489455E-001         1.7631060898379858E-001         7.1539284380804813E-001         2.7025513764703657E-001         2.4965358274980139E-003        -1.0000000000000000E+000
   79         6.0000000000000000E+000         2.3611210308478714E-001         2.3611192627812380E-001        -6.8638532546337532E-014         0.0000000000000000E+000         0.0000000000000000E+000        -6.0237969685395809E-001        -4.2175652728622488E+000        -9.8999999999999986E+001         3.5185600635484753E+000         1.8436717665818383E-001         3.4404340217636600E+000         7.1539283877892568E-001         6.6322015869851040E-005         2.7025513764706194E-001         2.4965358274983106E-003         6.1088852298863969E-003         6.0881211417864645E+000        -2.2284087069207850E-001         1.7313702710804585E-001         7.1539283877873783E-001         2.7025513764706194E-001         2.4965358274983106E-003        -1.0000000000000000E+000
   80         6.0000000000000000E+000         2.4149763649611561E-001         2.4149745355191926E-001        -6.8310751595094072E-014         0.0000000000000000E+000         0.0000000000000000E+000        -5.9125901928605717E-001        -4.7175912985117030E+000        -9.9000000000000000E+001         3.5199626221998828E+000         1.8712239813932047E-001         3.4453618174416722E+000         7.1539283808705123E-001         6.6324091422795831E-005         2.7025513764708403E-001         2.4965358274985682E-003         6.1088852298870205E-003         6.0954230341141997E+000        -2.2107304376212272E-001         1.7037647821114099E-001         7.1539283808702314E-001         2.7025513764708403E-001         2.4965358274985690E-003        -1.0000000000000000E+000
   81         6.0000000000000000E+000         2.4828992627411955E-001         2.4828973546017816E-001        -6.7643081153341355E-014         0.0000000000000000E+000         0.0000000000000000E+000        -5.7714536393903937E-001        -5.3766764325165948E+000        -9.8999999999999986E+001         3.5217056323124041E+000         1.9069320558778674E-001         3.4513850158731856E+000         7.1539283800215270E-001         6.6324346028162054E-005         2.7025513764711201E-001         2.4965358274988939E-003         6.1088852298878081E-003         6.1046706450583121E+000        -2.1889277713861133E-001         1.6687251145912874E-001         7.1539283800215181E-001         2.7025513764711195E-001         2.4965358274988939E-003        -1.0000000000000000E+000
   82         6.0000000000000000E+000         2.5591876005629555E-001         2.5591856077296271E-001        -6.8771207096786995E-014         0.0000000000000000E+000         0.0000000000000000E+000        -5.6312337939813162E-001        -6.5612595948823866E+000        -9.8999999999999986E+001         3.5234613575852358E+000         1.9419274731257719E-001         3.4570734893210120E+000         7.1539283800098907E-001         6.6324349550382167E-005         2.7025513764710196E-001         2.4965358274987486E-003         6.1088852298874568E-003         6.1134187442135453E+000        -2.1719672678232932E-001         1.6381444081350441E-001         7.1539283800098874E-001         2.7025513764710202E-001         2.4965358274987490E-003        -1.0000000000000000E+000
